Users,SpawnRate
1,1
2,1
2,1
3,1
5,1
5,1
6,1
8,1
9,1
11,1
14,1
18,1
21,1
19,1
18,1
18,1
16,1
16,1
14,1
14,1
14,1
14,1
13,1
13,1
11,1
11,1
10,1
10,1
10,1
9,1
9,1
9,1
10,1
10,1
10,1
10,1
10,1
10,1
11,1
11,1
11,1
12,1
13,1
13,1
14,1
14,1
16,1
18,1
18,1
20,1
22,1
23,1
25,1
24,1
22,1
22,1
21,1
19,1
18,1
16,1
14,1
13,1
11,1
11,1
9,1
8,1
8,1
6,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
3,1
2,1
2,1
2,1
2,1
0,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
