Users,SpawnRate
1,1
2,1
3,1
4,1
5,1
5,1
6,1
2,1
6,1
2,1
2,1
3,1
3,1
5,1
3,1
3,1
5,1
2,1
2,1
2,1
5,1
2,1
2,1
3,1
6,1
11,1
12,1
12,1
14,1
18,1
23,1
30,1
30,1
29,1
26,1
29,1
23,1
23,1
23,1
21,1
23,1
23,1
20,1
21,1
18,1
20,1
17,1
17,1
15,1
15,1
15,1
15,1
18,1
14,1
18,1
18,1
14,1
18,1
15,1
17,1
20,1
17,1
20,1
18,1
24,1
23,1
23,1
29,1
30,1
30,1
33,1
32,1
36,1
35,1
35,1
38,1
39,1
33,1
36,1
33,1
26,1
27,1
20,1
18,1
18,1
17,1
14,1
11,1
14,1
9,1
9,1
8,1
8,1
11,1
9,1
9,1
5,1
8,1
5,1
3,1
6,1
5,1
2,1
3,1
5,1
2,1
2,1
2,1
2,1
3,1
3,1
3,1
2,1
5,1
2,1
5,1
3,1
5,1
3,1
5,1
6,1
9,1
8,1
11,1
15,1
17,1
24,1
26,1
30,1
29,1
26,1
30,1
26,1
26,1
24,1
23,1
23,1
24,1
18,1
20,1
17,1
18,1
17,1
14,1
14,1
14,1
14,1
15,1
14,1
15,1
17,1
17,1
18,1
18,1
15,1
17,1
18,1
21,1
18,1
20,1
20,1
21,1
26,1
30,1
27,1
32,1
35,1
33,1
32,1
33,1
39,1
39,1
38,1
36,1
32,1
29,1
26,1
26,1
20,1
20,1
17,1
17,1
17,1
14,1
9,1
8,1
12,1
11,1
6,1
8,1
11,1
9,1
8,1
8,1
8,1
5,1
3,1
5,1
5,1
6,1
5,1
3,1
2,1
2,1
2,1
5,1
2,1
2,1
2,1
5,1
5,1
3,1
5,1
2,1
5,1
6,1
6,1
9,1
11,1
15,1
14,1
18,1
20,1
27,1
33,1
29,1
30,1
27,1
26,1
27,1
24,1
24,1
24,1
23,1
21,1
18,1
20,1
15,1
18,1
17,1
15,1
15,1
15,1
17,1
17,1
15,1
14,1
15,1
15,1
14,1
20,1
15,1
18,1
21,1
21,1
18,1
21,1
23,1
27,1
29,1
26,1
29,1
35,1
35,1
33,1
35,1
36,1
35,1
41,1
33,1
36,1
32,1
27,1
24,1
20,1
20,1
21,1
14,1
17,1
15,1
12,1
8,1
8,1
11,1
9,1
9,1
8,1
8,1
8,1
5,1
8,1
2,1
6,1
6,1
5,1
2,1
5,1
5,1
5,1
3,1
5,1
3,1
5,1
5,1
5,1
2,1
5,1
2,1
3,1
6,1
2,1
3,1
9,1
6,1
8,1
15,1
15,1
18,1
21,1
27,1
32,1
29,1
30,1
27,1
24,1
27,1
24,1
24,1
24,1
23,1
18,1
18,1
18,1
17,1
17,1
17,1
14,1
15,1
17,1
14,1
17,1
15,1
18,1
18,1
17,1
15,1
18,1
18,1
20,1
17,1
18,1
21,1
23,1
20,1
24,1
26,1
29,1
29,1
32,1
32,1
36,1
36,1
38,1
39,1
39,1
38,1
33,1
30,1
26,1
26,1
20,1
20,1
21,1
14,1
15,1
12,1
12,1
12,1
8,1
11,1
9,1
11,1
11,1
8,1
9,1
3,1
6,1
6,1
3,1
5,1
5,1
5,1
6,1
2,1
3,1
3,1
2,1
5,1
5,1
2,1
2,1
2,1
5,1
2,1
3,1
5,1
3,1
8,1
6,1
9,1
9,1
12,1
14,1
20,1
21,1
30,1
32,1
29,1
26,1
26,1
24,1
23,1
21,1
21,1
21,1
21,1
20,1
23,1
18,1
15,1
18,1
18,1
18,1
12,1
14,1
17,1
15,1
18,1
17,1
14,1
17,1
15,1
15,1
15,1
15,1
20,1
23,1
21,1
23,1
21,1
26,1
30,1
30,1
32,1
33,1
32,1
35,1
36,1
39,1
38,1
41,1
38,1
32,1
30,1
26,1
26,1
24,1
18,1
21,1
18,1
12,1
12,1
11,1
9,1
12,1
9,1
11,1
9,1
8,1
5,1
9,1
3,1
8,1
2,1
2,1
6,1
6,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
5,1
3,1
3,1
2,1
5,1
5,1
5,1
6,1
8,1
8,1
12,1
12,1
17,1
17,1
15,1
17,1
20,1
21,1
23,1
26,1
29,1
27,1
27,1
26,1
21,1
21,1
20,1
17,1
18,1
20,1
14,1
17,1
14,1
18,1
20,1
18,1
20,1
21,1
23,1
21,1
20,1
26,1
26,1
26,1
27,1
26,1
26,1
24,1
26,1
27,1
30,1
27,1
27,1
29,1
32,1
30,1
29,1
29,1
27,1
24,1
24,1
26,1
26,1
20,1
24,1
24,1
20,1
23,1
21,1
15,1
18,1
17,1
12,1
12,1
9,1
12,1
11,1
9,1
8,1
5,1
3,1
5,1
5,1
3,1
6,1
3,1
5,1
2,1
2,1
2,1
3,1
5,1
3,1
2,1
2,1
2,1
2,1
2,1
3,1
3,1
2,1
8,1
