Users,SpawnRate
2,1
2,1
4,1
5,1
4,1
5,1
8,1
9,1
10,1
12,1
15,1
17,1
20,1
21,1
19,1
17,1
18,1
17,1
16,1
15,1
16,1
15,1
12,1
14,1
10,1
13,1
10,1
9,1
12,1
10,1
9,1
11,1
9,1
9,1
12,1
11,1
11,1
11,1
11,1
10,1
11,1
11,1
15,1
12,1
14,1
16,1
17,1
19,1
20,1
21,1
22,1
22,1
25,1
24,1
21,1
21,1
21,1
21,1
17,1
17,1
13,1
13,1
13,1
13,1
9,1
7,1
10,1
7,1
4,1
6,1
6,1
4,1
4,1
4,1
6,1
4,1
1,1
1,1
3,1
2,1
1,1
1,1
1,1
3,1
1,1
2,1
2,1
2,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
1,1
